0,0,0.3500,0.3100,0.3300,0.8739,0.9875,0.8928
1,204800,0.0000,0.0000,0.0000,0.2717,0.1250,0.8697
2,409600,0.0200,0.0000,0.0100,0.3958,0.0755,0.8907
3,614400,0.0000,0.0000,0.0000,0.3204,0.0794,0.8674
4,819200,0.0100,0.0000,0.0050,0.2472,0.0645,0.8796
5,1024000,0.0000,0.0000,0.0000,0.2127,0.1222,0.8690
6,1228800,0.0000,0.0000,0.0000,0.1512,0.1728,0.8814
6,1433600,0.0100,0.0000,0.0050,0.2003,0.1656,0.7852
6,1638400,0.0000,0.0000,0.0000,0.1688,0.1086,0.3056
6,1843200,0.0000,0.0200,0.0100,0.1500,0.0694,0.3162
6,2048000,0.0000,0.0000,0.0000,0.1988,0.1047,0.2085
6,2252800,0.0000,0.0000,0.0000,0.1458,0.0916,0.2563
6,2457600,0.0000,0.0000,0.0000,0.1679,0.0960,0.3536
6,2662400,0.0000,0.0000,0.0000,0.1642,0.0985,0.3698
6,2867200,0.0000,0.0100,0.0050,0.2414,0.0968,0.2668
6,3072000,0.0000,0.0000,0.0000,0.1498,0.0859,0.2745
6,3276800,0.0000,0.0000,0.0000,0.1562,0.0728,0.2947
6,3481600,0.0000,0.0000,0.0000,0.1550,0.0799,0.2663
6,3686400,0.0000,0.0000,0.0000,0.1117,0.0873,0.2380
6,3891200,0.0000,0.0100,0.0050,0.1678,0.0819,0.3753
6,4096000,0.0100,0.0100,0.0100,0.1695,0.0940,0.4036
6,4300800,0.0000,0.0000,0.0000,0.1368,0.0701,0.2865
6,4505600,0.0000,0.0000,0.0000,0.1840,0.0907,0.3506
6,4710400,0.0000,0.0000,0.0000,0.2143,0.1023,0.2136
6,4915200,0.0000,0.0000,0.0000,0.2436,0.0874,0.2143
6,5120000,0.0000,0.0000,0.0000,0.1643,0.1034,0.1918
6,5324800,0.0000,0.0000,0.0000,0.1667,0.0817,0.2795
6,5529600,0.0000,0.0000,0.0000,0.1691,0.1000,0.3767
6,5734400,0.0000,0.0000,0.0000,0.2131,0.0760,0.2581
6,5939200,0.0000,0.0000,0.0000,0.1176,0.0831,0.3706
0,0,0.3800,0.3600,0.3700,0.8854,0.9649,0.9218
1,106496,0.0000,0.0000,0.0000,0.3182,0.2143,0.8871
