경우의 수,게임 기록,총보상,결과
54,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.5,승리
55,일반 공격(성공: 3.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),5.5,승리
56,일반 공격(성공: 1.38) / 일반 공격(성공: -0.64) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.24,승리
57,일반 공격(성공: 1.41) / 일반 공격(성공: -0.84) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.08,승리
58,틈새 공격(실패: -0.50) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.0,승리
59,일반 공격(성공: 1.47) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.97,승리
60,일반 공격(성공: 1.45) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.95,승리
61,일반 공격(성공: 1.44) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.94,승리
62,일반 공격(성공: 1.42) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.92,승리
63,일반 공격(성공: 1.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.89,승리
64,일반 공격(성공: 1.32) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.82,승리
65,일반 공격(성공: 1.30) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.8,승리
66,일반 공격(성공: 1.26) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.76,승리
67,일반 공격(성공: 1.00) / 일반 공격(성공: -0.74) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.76,승리
68,일반 공격(성공: 1.24) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.74,승리
69,일반 공격(성공: 1.00) / 일반 공격(성공: -0.85) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.65,승리
70,일반 공격(성공: 1.14) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),4.64,승리
