경우의 수,게임 기록,총보상,결과
202,틈새 공격(성공: 0.47) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00),-1.53,패배
203,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.63),-1.63,패배
204,틈새 공격(실패: -0.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-2.0,승리
205,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00),-2.0,패배
206,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(실패: -1.00),-3.0,승리
207,틈새 공격(성공: 0.02) / 틈새 공격(성공: -1.56) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00),-3.54,패배
208,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: 3.00) / 일반 공격(실패: -7.50),-5.04,패배
209,일반 공격(성공: 1.00) / 일반 공격(실패: -4.00) / 틈새 공격(성공: -1.64) / 일반 공격(성공: -0.50),-5.14,패배
210,일반 공격(성공: 1.49) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-5.52,패배
211,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -0.92) / 일반 공격(성공: -4.50),-5.92,패배
212,틈새 공격(성공: 0.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.01,패배
213,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.02,패배
214,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.03,패배
215,일반 공격(성공: 1.41) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -5.50),-6.09,패배
216,틈새 공격(성공: 0.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.11,패배
217,틈새 공격(성공: 0.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.12,패배
218,틈새 공격(성공: 0.37) / 틈새 공격(성공: -1.51) / 일반 공격(성공: 1.00) / 일반 공격(성공: -6.00),-6.13,패배
219,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.65) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.15,패배
220,일반 공격(성공: 3.35) / 틈새 공격(성공: -1.57) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.21,패배
221,틈새 공격(성공: 0.40) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: 3.00) / 일반 공격(실패: -7.00),-6.21,패배
222,틈새 공격(성공: 0.29) / 틈새 공격(성공: -1.52) / 일반 공격(성공: 1.00) / 일반 공격(성공: -6.00),-6.23,패배
223,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.76) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.26,패배
224,일반 공격(성공: 1.35) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -6.61),-6.26,패배
225,일반 공격(성공: 1.21) / 일반 공격(성공: -3.00) / 일반 공격(성공: -4.50),-6.29,패배
226,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -5.50),-6.5,패배
227,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -4.50),-6.5,패배
228,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 일반 공격(성공: -4.50),-6.5,패배
229,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-6.5,패배
230,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.50),-6.5,패배
231,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00) / 일반 공격(실패: -4.00) / 일반 공격(성공: -4.50),-6.5,패배
232,틈새 공격(성공: 0.49) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.51,패배
233,일반 공격(성공: 3.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.51,패배
234,일반 공격(실패: 0.11) / 일반 공격(성공: 1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -6.00),-6.51,패배
235,일반 공격(실패: -2.00) / 일반 공격(성공: 3.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-6.52,패배
236,틈새 공격(성공: 0.38) / 일반 공격(성공: -0.91) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-6.53,패배
237,일반 공격(성공: 1.00) / 일반 공격(실패: -1.53) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-6.53,패배
238,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-6.54,패배
239,틈새 공격(성공: 0.46) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.54,패배
240,틈새 공격(성공: 0.43) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.57,패배
241,틈새 공격(성공: 0.42) / 일반 공격(성공: 1.00) / 일반 공격(성공: -8.00),-6.58,패배
242,틈새 공격(성공: 0.42) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.58,패배
243,틈새 공격(성공: 0.41) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.59,패배
244,틈새 공격(성공: 0.40) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.6,패배
245,틈새 공격(성공: 0.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-6.61,패배
246,틈새 공격(성공: 0.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-6.62,패배
247,틈새 공격(성공: 0.38) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-6.62,패배
248,일반 공격(성공: -1.00) / 틈새 공격(성공: -1.66) / 일반 공격(성공: 3.00) / 일반 공격(실패: -7.00),-6.66,패배
249,일반 공격(실패: -1.74) / 일반 공격(성공: 1.00) / 일반 공격(성공: -6.00),-6.74,패배
250,일반 공격(성공: 1.14) / 일반 공격(성공: 3.00) / 일반 공격(실패: -4.00) / 일반 공격(실패: -7.00),-6.86,패배
251,일반 공격(성공: 3.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -9.00),-7.0,패배
252,일반 공격(실패: -2.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: -6.00),-7.0,패배
253,일반 공격(성공: 3.00) / 일반 공격(실패: -4.00) / 일반 공격(성공: -6.00),-7.0,패배
254,일반 공격(성공: 1.00) / 일반 공격(성공: -8.00),-7.0,패배
255,일반 공격(성공: 1.00) / 일반 공격(실패: -4.00) / 일반 공격(성공: -4.00),-7.0,패배
256,일반 공격(성공: 3.00) / 일반 공격(성공: -3.00) / 일반 공격(실패: -7.00),-7.0,패배
257,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00) / 일반 공격(실패: -9.00),-7.0,패배
258,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.0,패배
259,일반 공격(성공: 3.00) / 일반 공격(실패: -2.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.0,패배
260,일반 공격(실패: 0.00) / 일반 공격(성공: -3.00) / 일반 공격(성공: -4.00),-7.0,패배
261,일반 공격(성공: 1.00) / 일반 공격(실패: -2.00) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-7.0,패배
262,일반 공격(성공: -1.00) / 일반 공격(성공: 1.00) / 일반 공격(실패: -7.00),-7.0,패배
263,일반 공격(성공: 1.00) / 일반 공격(성공: 3.00) / 일반 공격(실패: -4.00) / 일반 공격(실패: -7.00),-7.0,패배
264,일반 공격(성공: 1.49) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.04,패배
265,틈새 공격(성공: 0.49) / 일반 공격(성공: -0.55) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.06,패배
266,일반 공격(성공: 1.46) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.06,패배
267,일반 공격(성공: 1.43) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.07,패배
268,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00) / 틈새 공격(성공: -1.55) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-7.07,패배
269,일반 공격(성공: 1.46) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.08,패배
270,틈새 공격(성공: 0.48) / 일반 공격(성공: -0.57) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.09,패배
271,일반 공격(성공: 1.42) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.09,패배
272,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -0.57) / 일반 공격(성공: -6.00),-7.1,패배
273,일반 공격(성공: 1.43) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.1,패배
274,일반 공격(성공: 1.44) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.11,패배
275,일반 공격(성공: 1.40) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -6.00),-7.11,패배
276,일반 공격(성공: 1.44) / 틈새 공격(성공: -1.60) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.16,패배
277,일반 공격(성공: 1.34) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-7.18,패배
278,틈새 공격(성공: 0.43) / 일반 공격(성공: -1.00) / 일반 공격(성공: -0.61) / 일반 공격(성공: -6.00),-7.19,패배
279,일반 공격(성공: 1.45) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.63) / 일반 공격(성공: -6.00),-7.19,패배
280,틈새 공격(성공: 0.39) / 일반 공격(성공: -0.58) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.19,패배
281,일반 공격(성공: 1.33) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -6.00),-7.21,패배
282,일반 공격(성공: 1.33) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.22,패배
283,일반 공격(성공: 1.29) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-7.23,패배
284,일반 공격(성공: 1.45) / 틈새 공격(성공: -1.68) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.23,패배
285,일반 공격(성공: 1.34) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.60) / 일반 공격(성공: -6.00),-7.26,패배
286,일반 공격(성공: 1.26) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.26,패배
287,일반 공격(성공: 1.25) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.27,패배
288,일반 공격(성공: 1.25) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-7.27,패배
289,틈새 공격(성공: 0.39) / 일반 공격(성공: -0.68) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.29,패배
290,일반 공격(성공: 1.22) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.29,패배
291,일반 공격(성공: 1.26) / 틈새 공격(성공: -1.56) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.3,패배
292,틈새 공격(성공: 0.32) / 틈새 공격(성공: 0.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.3,패배
293,일반 공격(성공: 1.22) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-7.3,패배
294,틈새 공격(성공: 0.49) / 일반 공격(성공: -0.80) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.31,패배
295,일반 공격(성공: 1.21) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.32,패배
296,일반 공격(성공: 1.30) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.62) / 일반 공격(성공: -6.00),-7.32,패배
297,일반 공격(성공: 1.28) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -6.00),-7.33,패배
298,일반 공격(성공: 1.16) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -6.00),-7.34,패배
299,틈새 공격(성공: 0.40) / 일반 공격(성공: -0.76) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.36,패배
300,틈새 공격(성공: 0.44) / 일반 공격(성공: -0.81) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.36,패배
301,일반 공격(성공: 1.25) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -6.00),-7.37,패배
302,일반 공격(성공: 1.00) / 일반 공격(성공: -0.84) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -6.00),-7.39,패배
303,틈새 공격(성공: 0.36) / 일반 공격(성공: -0.75) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.39,패배
304,일반 공격(성공: 1.35) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.75) / 일반 공격(성공: -6.00),-7.4,패배
305,틈새 공격(성공: 0.24) / 일반 공격(성공: -0.65) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.41,패배
306,일반 공격(성공: 1.12) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -6.00),-7.41,패배
307,일반 공격(성공: 1.10) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -6.00),-7.43,패배
308,틈새 공격(성공: 0.37) / 일반 공격(성공: -1.00) / 일반 공격(성공: -0.80) / 일반 공격(성공: -6.00),-7.43,패배
309,일반 공격(성공: 1.19) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.64) / 일반 공격(성공: -6.00),-7.45,패배
310,일반 공격(성공: 1.06) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.45,패배
311,일반 공격(성공: 1.06) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.45,패배
312,일반 공격(성공: 1.06) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -6.00),-7.46,패배
313,일반 공격(성공: 1.09) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -6.00),-7.46,패배
314,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: -0.90) / 일반 공격(성공: -6.00),-7.47,패배
315,틈새 공격(성공: 0.37) / 일반 공격(성공: -0.85) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.48,패배
316,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -0.86) / 일반 공격(성공: -6.00),-7.48,패배
317,일반 공격(성공: 1.10) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: -6.00),-7.48,패배
318,일반 공격(성공: 1.05) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.48,패배
319,일반 공격(성공: 1.04) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -6.00),-7.48,패배
320,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.5,패배
321,일반 공격(성공: 1.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.5,패배
322,틈새 공격(성공: 0.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.5,패배
323,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -6.00),-7.5,패배
324,틈새 공격(성공: 0.36) / 일반 공격(성공: -1.00) / 일반 공격(성공: 1.13) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.51,패배
325,틈새 공격(성공: 0.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.51,패배
326,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -6.00),-7.51,패배
327,일반 공격(성공: 1.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.51,패배
328,일반 공격(성공: 1.03) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.51,패배
329,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.51) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.51,패배
330,일반 공격(성공: 1.48) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.52,패배
331,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -6.00),-7.52,패배
332,일반 공격(성공: 1.31) / 일반 공격(성공: -0.83) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.52,패배
333,틈새 공격(성공: 0.48) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.52,패배
334,틈새 공격(성공: 0.42) / 일반 공격(성공: -0.95) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.52,패배
335,일반 공격(성공: 1.48) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.52,패배
336,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.52) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.52,패배
337,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.53,패배
338,틈새 공격(성공: 0.47) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.53,패배
339,일반 공격(성공: 1.01) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.53,패배
340,일반 공격(성공: 1.47) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.53,패배
341,일반 공격(성공: 1.05) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.58) / 일반 공격(성공: -6.00),-7.53,패배
342,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.53) / 일반 공격(성공: -6.00),-7.53,패배
343,일반 공격(성공: 1.47) / 일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 일반 공격(실패: -7.00),-7.53,패배
344,틈새 공격(성공: 0.46) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.54,패배
345,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -6.00),-7.54,패배
346,일반 공격(성공: 1.00) / 일반 공격(성공: -0.54) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.54,패배
347,일반 공격(성공: 1.46) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.54,패배
348,일반 공격(성공: 1.46) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.54,패배
349,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.54,패배
350,일반 공격(성공: 1.00) / 일반 공격(성공: -2.55) / 일반 공격(성공: -6.00),-7.55,패배
351,일반 공격(성공: 1.45) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.55,패배
352,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -6.00),-7.55,패배
353,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.55) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.55,패배
354,틈새 공격(성공: 0.45) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.55,패배
355,일반 공격(성공: 1.46) / 틈새 공격(성공: -1.52) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -6.00),-7.56,패배
356,틈새 공격(성공: 0.44) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.56,패배
357,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.56) / 일반 공격(성공: -6.00),-7.56,패배
358,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.56) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.56,패배
359,일반 공격(성공: 1.44) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.56,패배
360,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.57,패배
361,일반 공격(성공: 1.43) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.57,패배
362,일반 공격(성공: 1.48) / 틈새 공격(성공: -1.51) / 틈새 공격(성공: -1.54) / 일반 공격(성공: -6.00),-7.57,패배
363,일반 공격(성공: 1.43) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.57,패배
364,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.57) / 일반 공격(성공: -6.00),-7.57,패배
365,일반 공격(성공: 1.42) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.58,패배
366,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.58) / 일반 공격(성공: -6.00),-7.58,패배
367,일반 공격(성공: 1.42) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.58,패배
368,틈새 공격(성공: 0.42) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.58,패배
369,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.58) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.58,패배
370,일반 공격(성공: 1.00) / 일반 공격(성공: -0.58) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.58,패배
371,틈새 공격(성공: 0.40) / 일반 공격(성공: -0.98) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.58,패배
372,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: -6.00),-7.59,패배
373,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.59) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.59,패배
374,일반 공격(성공: 1.41) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.59,패배
375,일반 공격(성공: 1.41) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.59,패배
376,틈새 공격(성공: 0.41) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.59,패배
377,일반 공격(성공: 1.40) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.6,패배
378,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.60) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.6,패배
379,틈새 공격(성공: 0.40) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.6,패배
380,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.60) / 일반 공격(성공: -6.00),-7.6,패배
381,일반 공격(성공: 1.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.61,패배
382,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -6.00),-7.61,패배
383,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.61,패배
384,틈새 공격(성공: 0.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.61,패배
385,틈새 공격(성공: 0.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.62,패배
386,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.62) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.62,패배
387,일반 공격(성공: 1.00) / 일반 공격(성공: -0.62) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.62,패배
388,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.62) / 일반 공격(성공: -6.00),-7.62,패배
389,일반 공격(성공: 1.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.62,패배
390,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.63) / 일반 공격(성공: -6.00),-7.63,패배
391,일반 공격(성공: 1.37) / 일반 공격(성공: -3.00) / 일반 공격(성공: -6.00),-7.63,패배
392,일반 공격(성공: 1.37) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.63,패배
393,틈새 공격(성공: 0.37) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.63,패배
394,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.63) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.63,패배
395,일반 공격(성공: 1.00) / 일반 공격(성공: -0.64) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.64,패배
396,틈새 공격(성공: 0.36) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.64,패배
397,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.64) / 일반 공격(성공: -1.00) / 일반 공격(성공: -6.00),-7.64,패배
398,일반 공격(성공: 1.36) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(실패: -7.00),-7.64,패배
399,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.64) / 일반 공격(성공: -6.00),-7.64,패배
