Round,Total Timesteps,Win Rate as Black,Win Rate as White,Overall Win Rate,Neg Strategy Ratio
A_Round_33,1970176,0.0000,0.0000,0.0000,0.3370,0.0200,0.9161
A_Round_34,2023424,0.0100,0.0000,0.0050,0.3601,0.1096,0.8823
A_Round_35,2076672,0.0000,0.0000,0.0000,0.3198,0.1667,0.8629
A_Round_36,2129920,0.0000,0.0000,0.0000,0.2510,0.1587,0.8861
A_Round_37,2183168,0.0000,0.0000,0.0000,0.2430,0.0933,0.8611
A_Round_38,2236416,0.0000,0.0000,0.0000,0.1916,0.0645,0.8845
A_Round_39,2289664,0.0000,0.0000,0.0000,0.2259,0.1220,0.8476
A_Round_40,2342912,0.0000,0.0000,0.0000,0.2127,0.0286,0.8748
A_Round_41,2396160,0.0000,0.0000,0.0000,0.1948,0.1571,0.8768
A_Round_42,2449408,0.0000,0.0000,0.0000,0.2108,0.1778,0.9171
A_Round_43,2502656,0.0000,0.0000,0.0000,0.2547,0.1212,0.8780
A_Round_44,2555904,0.0000,0.0000,0.0000,0.2194,0.1250,0.8925
A_Round_45,2609152,0.0000,0.0000,0.0000,0.2138,0.0820,0.8836
A_Round_46,2662400,0.0000,0.0000,0.0000,0.1681,0.0984,0.8838
A_Round_47,2715648,0.0000,0.0000,0.0000,0.1723,0.1159,0.8720
A_Round_48,2768896,0.0000,0.0000,0.0000,0.1479,0.0820,0.8987
A_Round_49,2822144,0.0000,0.0000,0.0000,0.1212,0.0656,0.8950
A_Round_50,2875392,0.0000,0.0000,0.0000,0.1508,0.0441,0.8851
A_Round_51,2928640,0.0000,0.0000,0.0000,0.1804,0.0779,0.8663
A_Round_52,2981888,0.0000,0.0000,0.0000,0.1707,0.1186,0.8929
A_Round_53,3035136,0.0000,0.0000,0.0000,0.1884,0.0469,0.8830
A_Round_54,3088384,0.0000,0.0000,0.0000,0.1816,0.0959,0.8563
A_Round_55,3141632,0.0000,0.0000,0.0000,0.1879,0.0741,0.8922
A_Round_56,3194880,0.0000,0.0000,0.0000,0.1695,0.0893,0.8821
A_Round_57,3248128,0.0000,0.0000,0.0000,0.2185,0.1129,0.8775
A_Round_58,3301376,0.0000,0.0000,0.0000,0.2290,0.0536,0.8873
A_Round_59,3354624,0.0000,0.0000,0.0000,0.2023,0.0417,0.9016
A_Round_60,3407872,0.0000,0.0000,0.0000,0.1410,0.0896,0.8731
A_Round_61,3461120,0.0000,0.0000,0.0000,0.1810,0.0536,0.8923
A_Round_62,3514368,0.0000,0.0000,0.0000,0.1749,0.0964,0.8431
A_Round_63,3567616,0.0000,0.0000,0.0000,0.1736,0.0758,0.8733
A_Round_64,3620864,0.0000,0.0000,0.0000,0.1808,0.0541,0.8612
A_Round_65,3674112,0.0000,0.0000,0.0000,0.1435,0.0370,0.8920
A_Round_66,3727360,0.0000,0.0000,0.0000,0.2040,0.1045,0.8707
A_Round_67,3780608,0.0000,0.0000,0.0000,0.1553,0.1373,0.9021
A_Round_68,3833856,0.0000,0.0000,0.0000,0.1629,0.0286,0.8633
A_Round_69,3887104,0.0000,0.0000,0.0000,0.2004,0.1333,0.8833
A_Round_70,3940352,0.0000,0.0000,0.0000,0.1592,0.0667,0.8814
A_Round_71,3993600,0.0000,0.0000,0.0000,0.1576,0.0877,0.8931
A_Round_72,4046848,0.0000,0.0000,0.0000,0.1741,0.0750,0.9180
A_Round_73,4100096,0.0000,0.0000,0.0000,0.1622,0.1286,0.8532
A_Round_74,4153344,0.0000,0.0000,0.0000,0.1937,0.1569,0.8970
A_Round_75,4206592,0.0000,0.0000,0.0000,0.1744,0.0204,0.8977
A_Round_1,4259840,0.0000,0.0000,0.0000,0.1507,0.0545,0.8837
