episode,miss,1피,2피,총보상
100,0.9900,0.0100,0.0000,-47.80
200,1.0000,0.0000,0.0000,-50.00
300,1.0000,0.0000,0.0000,-50.00
400,0.9800,0.0200,0.0000,-46.30
500,1.0000,0.0000,0.0000,-49.30
600,1.0000,0.0000,0.0000,-50.00
700,1.0000,0.0000,0.0000,-50.00
800,1.0000,0.0000,0.0000,-50.00
900,1.0000,0.0000,0.0000,-50.00
1000,0.9800,0.0200,0.0000,-46.30
1100,1.0000,0.0000,0.0000,-50.00
1200,1.0000,0.0000,0.0000,-50.00
1300,0.9800,0.0200,0.0000,-47.00
1400,1.0000,0.0000,0.0000,-50.00
1500,0.9900,0.0100,0.0000,-47.80
1600,1.0000,0.0000,0.0000,-49.30
1700,1.0000,0.0000,0.0000,-50.00
1800,0.9800,0.0200,0.0000,-44.90
1900,1.0000,0.0000,0.0000,-49.30
2000,0.9800,0.0200,0.0000,-46.30
2100,0.9900,0.0100,0.0000,-48.50
2200,1.0000,0.0000,0.0000,-50.00
2300,0.9700,0.0100,0.0200,-44.10
2400,0.9900,0.0100,0.0000,-48.50
2500,0.9700,0.0200,0.0100,-38.50
2600,0.9900,0.0100,0.0000,-46.40
2700,0.9800,0.0200,0.0000,-47.00
2800,1.0000,0.0000,0.0000,-50.00
2900,1.0000,0.0000,0.0000,-50.00
3000,0.9800,0.0000,0.0200,-30.90
3100,0.9400,0.0500,0.0100,-39.60
3200,0.9500,0.0400,0.0100,-41.10
3300,0.9700,0.0200,0.0100,-37.80
3400,0.9600,0.0300,0.0100,-36.30
3500,0.9700,0.0300,0.0000,-44.80
3600,0.9800,0.0100,0.0100,-37.90
3700,0.9700,0.0200,0.0100,-37.10
3800,0.9600,0.0200,0.0200,-34.90
3900,0.9900,0.0100,0.0000,-47.10
4000,0.9700,0.0300,0.0000,-44.10
4100,0.9700,0.0300,0.0000,-43.40
4200,0.9900,0.0100,0.0000,-47.80
4300,0.9900,0.0100,0.0000,-45.00
4400,0.9700,0.0200,0.0100,-37.10
4500,0.9700,0.0200,0.0100,-44.10
4600,0.9500,0.0200,0.0300,-27.10
4700,0.9600,0.0200,0.0200,-43.30
4800,0.9900,0.0100,0.0000,-48.50
4900,0.9800,0.0200,0.0000,-46.30
5000,0.9700,0.0200,0.0100,-44.80
5100,0.9500,0.0500,0.0000,-41.80
5200,0.9600,0.0200,0.0200,-34.20
5300,0.9900,0.0000,0.0100,-40.10
5400,0.9700,0.0100,0.0200,-44.80
5500,0.9600,0.0400,0.0000,-42.60
5600,0.9900,0.0100,0.0000,-46.40
5700,0.9500,0.0300,0.0200,-33.40
5800,0.9700,0.0300,0.0000,-45.50
5900,0.9600,0.0400,0.0000,-42.60
6000,0.9700,0.0200,0.0100,-44.80
6100,0.9600,0.0300,0.0100,-35.60
6200,0.9300,0.0700,0.0000,-39.50
6300,0.9800,0.0000,0.0200,-39.30
6400,0.9900,0.0100,0.0000,-47.10
6500,0.9600,0.0100,0.0300,-28.60
6600,0.9400,0.0600,0.0000,-40.30
6700,0.9800,0.0100,0.0100,-37.90
6800,0.9700,0.0200,0.0100,-36.40
6900,0.9600,0.0200,0.0200,-34.90
7000,0.9800,0.0200,0.0000,-47.00
7100,0.9500,0.0300,0.0200,-28.50
7200,0.9700,0.0200,0.0100,-44.10
7300,0.9800,0.0100,0.0100,-38.60
7400,0.9600,0.0400,0.0000,-42.60
7500,0.9700,0.0300,0.0000,-44.80
7600,0.9800,0.0200,0.0000,-46.30
7700,0.9500,0.0400,0.0100,-34.80
7800,0.9700,0.0300,0.0000,-44.10
